feature,coefficient
total_spent,226.01848757988947
monetary,226.01848757988938
frequency_per_month,-95.32163522730814
frequency,-95.32163522730806
customer_lifetime_days,-89.7466953808994
recency,-62.55262323376478
RFM_weighted_score,52.108537790184286
total_quantity,50.156623804642344
RFM_score,48.544084975804594
R_score,48.04652487242768
F_score,46.08800562617104
total_spent_per_day,-44.34779130953597
purchase_velocity,35.7774109736759
M_score,28.767033974022947
avg_days_between_purchases,24.308088098586023
product_categories,-19.813076087645157
cluster,16.22845806326158
payment_methods,-11.771382338812655
monetary_per_purchase,-9.54894193989793
avg_order_value,-9.548941939897745
avg_amount,-9.548941939897691
avg_quantity,-1.449244695766648
amount_std,-1.1933990039067128
